source,destination,source_port,destination_port,protocol,length,flags,ttl,window_size,seq_number,ack_number,time_delta,label
3487745543,168430090,0,0,1,1253,0,57,0,0,0,2e-06,attack
529457104,168430090,0,0,1,1282,0,89,0,0,0,2e-06,attack
2326555044,168430090,0,0,1,1057,0,125,0,0,0,2e-06,attack
2377982957,168430090,0,0,1,1107,0,81,0,0,0,2e-06,attack
363266266,168430090,0,0,1,1095,0,121,0,0,0,2e-06,attack
2321310120,168430090,0,0,1,904,0,111,0,0,0,2e-06,attack
3485828231,168430090,0,0,1,858,0,104,0,0,0,6e-06,attack
313827771,168430090,0,0,1,1465,0,103,0,0,0,3e-06,attack
1966983210,168430090,0,0,1,1214,0,140,0,0,0,1e-06,attack
543931625,168430090,0,0,1,1378,0,95,0,0,0,3e-06,attack
1516427729,168430090,0,0,1,993,0,69,0,0,0,2e-06,attack
901698467,168430090,0,0,1,414,0,48,0,0,0,1e-06,attack
1100270008,168430090,0,0,1,1239,0,75,0,0,0,2e-06,attack
901654453,168430090,0,0,1,205,0,79,0,0,0,2e-06,attack
3025771227,168430090,0,0,1,685,0,136,0,0,0,2e-06,attack
1107064609,168430090,0,0,1,331,0,93,0,0,0,1e-06,attack
797945718,168430090,0,0,1,1252,0,77,0,0,0,2e-06,attack
731015826,168430090,0,0,1,969,0,111,0,0,0,2e-06,attack
1520676619,168430090,0,0,1,1175,0,49,0,0,0,2e-06,attack
749960276,168430090,0,0,1,962,0,68,0,0,0,2e-06,attack
2505370318,168430090,0,0,1,807,0,131,0,0,0,2e-06,attack
3530550803,168430090,0,0,1,1265,0,83,0,0,0,2e-06,attack
2179910953,168430090,0,0,1,1418,0,145,0,0,0,2e-06,attack
2549952352,168430090,0,0,1,704,0,53,0,0,0,2e-06,attack
2778667128,168430090,0,0,1,86,0,95,0,0,0,2e-06,attack
384477688,168430090,0,0,1,890,0,93,0,0,0,2e-06,attack
2244172735,168430090,0,0,1,998,0,118,0,0,0,2e-06,attack
1520934132,168430090,0,0,1,1419,0,123,0,0,0,2e-06,attack
2716837532,168430090,0,0,1,756,0,61,0,0,0,2e-06,attack
1591900813,168430090,0,0,1,1414,0,114,0,0,0,2e-06,attack
2505873574,168430090,0,0,1,1462,0,98,0,0,0,1e-06,attack
2919671652,168430090,0,0,1,1034,0,72,0,0,0,2e-06,attack
2366271917,168430090,0,0,1,83,0,81,0,0,0,2e-06,attack
3450791608,168430090,0,0,1,1003,0,130,0,0,0,2e-06,attack
2919798170,168430090,0,0,1,572,0,98,0,0,0,1e-06,attack
2053163932,168430090,0,0,1,887,0,97,0,0,0,2e-06,attack
3704690646,168430090,0,0,1,149,0,45,0,0,0,2e-06,attack
2507979314,168430090,0,0,1,129,0,143,0,0,0,1e-06,attack
1265123463,168430090,0,0,1,1302,0,84,0,0,0,2e-06,attack
190699455,168430090,0,0,1,1035,0,65,0,0,0,2e-06,attack
3653437792,168430090,0,0,1,906,0,141,0,0,0,2e-06,attack
2237517702,168430090,0,0,1,1135,0,64,0,0,0,2e-06,attack
855048834,168430090,0,0,1,1425,0,72,0,0,0,2e-06,attack
3597481811,168430090,0,0,1,454,0,88,0,0,0,2e-06,attack
792297422,168430090,0,0,1,133,0,43,0,0,0,1e-06,attack
1410946562,168430090,0,0,1,967,0,109,0,0,0,2e-06,attack
2897587323,168430090,0,0,1,1170,0,122,0,0,0,2e-06,attack
3441999516,168430090,0,0,1,892,0,84,0,0,0,2e-06,attack
2425110429,168430090,0,0,1,421,0,125,0,0,0,2e-06,attack
945782266,168430090,0,0,1,610,0,108,0,0,0,2e-06,attack
583146696,168430090,0,0,1,1182,0,137,0,0,0,2e-06,attack
3075602377,168430090,0,0,1,1425,0,106,0,0,0,1e-06,attack
608602102,168430090,0,0,1,231,0,58,0,0,0,2e-06,attack
1169542696,168430090,0,0,1,642,0,132,0,0,0,2e-06,attack
3232996712,168430090,0,0,1,1426,0,135,0,0,0,2e-06,attack
430059249,168430090,0,0,1,176,0,107,0,0,0,1e-06,attack
3107244880,168430090,0,0,1,617,0,68,0,0,0,2e-06,attack
3430093303,168430090,0,0,1,1047,0,57,0,0,0,2e-06,attack
2295123838,168430090,0,0,1,406,0,141,0,0,0,1e-06,attack
1705546750,168430090,0,0,1,697,0,141,0,0,0,2e-06,attack
595481504,168430090,0,0,1,80,0,117,0,0,0,2e-06,attack
288668288,168430090,0,0,1,535,0,145,0,0,0,2e-06,attack
307870002,168430090,0,0,1,373,0,54,0,0,0,2e-06,attack
95147560,168430090,0,0,1,856,0,64,0,0,0,1e-06,attack
55384253,168430090,0,0,1,1221,0,134,0,0,0,2e-06,attack
1837363838,168430090,0,0,1,847,0,145,0,0,0,2e-06,attack
3755324855,168430090,0,0,1,1004,0,107,0,0,0,2e-06,attack
987569994,168430090,0,0,1,714,0,124,0,0,0,3e-06,attack
3399623635,168430090,0,0,1,1026,0,41,0,0,0,2e-06,attack
2188936043,168430090,0,0,1,252,0,90,0,0,0,1e-06,attack
1160290445,168430090,0,0,1,688,0,49,0,0,0,2.3e-05,attack
1324252003,168430090,0,0,1,504,0,48,0,0,0,3e-06,attack
1648724455,168430090,0,0,1,42,0,141,0,0,0,2e-06,attack
747086477,168430090,0,0,1,1466,0,41,0,0,0,3e-06,attack
1344669208,168430090,0,0,1,555,0,80,0,0,0,1e-06,attack
3646834913,168430090,0,0,1,497,0,150,0,0,0,2e-06,attack
1406906500,168430090,0,0,1,1347,0,133,0,0,0,2e-06,attack
3277081345,168430090,0,0,1,196,0,95,0,0,0,2e-06,attack
1552849241,168430090,0,0,1,1009,0,55,0,0,0,1e-06,attack
2017944874,168430090,0,0,1,1117,0,94,0,0,0,2e-06,attack
3313935303,168430090,0,0,1,86,0,128,0,0,0,2e-06,attack
2840995944,168430090,0,0,1,1068,0,98,0,0,0,2e-06,attack
1170148154,168430090,0,0,1,1203,0,72,0,0,0,1e-06,attack
3661851826,168430090,0,0,1,475,0,147,0,0,0,2e-06,attack
2938351948,168430090,0,0,1,446,0,108,0,0,0,2e-06,attack
3638805696,168430090,0,0,1,778,0,115,0,0,0,2e-06,attack
2494911290,168430090,0,0,1,1106,0,79,0,0,0,2e-06,attack
1130449236,168430090,0,0,1,281,0,134,0,0,0,2e-06,attack
2365533168,168430090,0,0,1,713,0,125,0,0,0,3e-06,attack
25986554,168430090,0,0,1,1177,0,105,0,0,0,2e-06,attack
